name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Dublin, Ireland",2023-01-01 00:00:00,6.8,3.6,5.5,91.71,0.226,100,rain,0.0,0.0,23.4,17.8,218.0,994.6,89.1,11.2,0.0,0.0,0,,"Rain, Partially cloudy",rain,"03971099999,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-01-01 01:00:00,5.8,2.7,3.8,86.79,0.0,0,,0.0,0.0,25.9,15.7,227.0,994.9,83.9,15.8,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"03971099999,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-01-01 02:00:00,4.9,1.7,3.0,87.5,0.0,0,,0.0,0.0,31.7,14.5,216.0,995.5,39.6,20.4,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"03971099999,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-01-01 03:00:00,4.7,2.3,2.9,88.13,0.0,0,,0.0,0.0,34.9,10.4,215.0,996.3,72.9,20.4,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"03971099999,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-01-01 04:00:00,4.4,1.7,2.9,89.81,0.0,0,,0.0,0.0,35.3,10.9,231.0,996.4,65.2,20.4,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"03971099999,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-01-01 05:00:00,4.6,2.3,2.9,88.45,0.0,0,,0.0,0.0,34.2,9.7,237.0,997.0,46.3,20.4,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"03971099999,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-01-01 06:00:00,4.6,2.0,3.4,92.06,0.0,0,,0.0,0.0,32.0,10.9,223.0,997.1,83.9,19.1,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"03971099999,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-01-01 07:00:00,5.0,3.0,3.2,88.15,0.0,0,,0.0,0.0,21.6,8.4,210.0,997.5,89.1,16.5,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"03971099999,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-01-01 08:00:00,5.5,3.6,4.0,89.92,0.0,0,,0.0,0.0,24.5,8.7,202.0,998.0,85.2,16.5,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"03971099999,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-01-01 09:00:00,5.5,4.2,3.9,89.73,0.0,0,,0.0,0.0,28.4,6.3,241.0,998.4,89.1,13.2,5.0,0.0,0,,Partially cloudy,partly-cloudy-day,"03971099999,EIDW,F8809,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-01-01 10:00:00,6.0,3.6,4.2,88.09,0.0,0,,0.0,0.0,32.0,11.5,244.0,999.3,89.0,9.1,24.0,0.1,0,,Partially cloudy,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-01-01 11:00:00,5.3,2.5,4.3,92.76,0.0,0,,0.0,0.0,34.2,13.0,243.0,1000.0,76.8,11.0,55.0,0.2,1,,Partially cloudy,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-01-01 12:00:00,5.8,3.1,4.6,91.73,0.514,100,rain,0.0,0.0,34.2,13.2,226.0,1000.5,89.1,20.5,55.0,0.2,1,,"Rain, Partially cloudy",rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-01-01 13:00:00,6.0,3.1,4.6,90.65,0.0,0,,0.0,0.0,36.4,14.3,250.0,1001.2,90.4,12.5,27.0,0.1,0,,Overcast,cloudy,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-01-01 14:00:00,5.9,3.0,4.0,88.13,0.0,0,,0.0,0.0,31.7,13.5,236.0,1002.0,94.2,8.5,20.0,0.1,0,,Overcast,cloudy,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-01-01 15:00:00,5.4,3.7,4.8,95.64,0.0,0,,0.0,0.0,27.0,7.7,268.0,1002.3,93.0,10.4,34.0,0.1,0,,Overcast,cloudy,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-01-01 16:00:00,5.1,3.3,4.7,97.28,0.0,0,,0.0,0.0,26.3,8.1,233.0,1002.4,89.1,14.0,30.0,0.1,0,,Partially cloudy,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-01-01 17:00:00,4.7,3.2,4.1,95.81,0.0,0,,0.0,0.0,22.3,6.7,263.0,1003.2,90.3,15.9,5.0,0.0,0,,Overcast,cloudy,"03971099999,EIDW,E7034,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-01-01 18:00:00,5.0,2.6,4.3,95.47,0.0,0,,0.0,0.0,20.9,10.4,267.0,1003.5,90.3,14.0,0.0,0.0,0,,Overcast,cloudy,"03971099999,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-01-01 19:00:00,4.7,1.6,3.8,94.18,0.0,0,,0.0,0.0,19.8,13.7,274.0,1004.4,83.0,13.6,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"03971099999,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-01-01 20:00:00,3.1,-0.4,2.4,94.73,0.0,0,,0.0,0.0,18.4,14.2,275.0,1005.3,61.1,12.9,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"03971099999,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-01-01 21:00:00,1.6,-2.6,0.9,95.09,0.0,0,,0.0,0.0,17.6,16.1,268.0,1006.3,41.2,15.2,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"03971099999,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-01-01 22:00:00,1.2,-3.1,0.9,97.95,0.0,0,,0.0,0.0,18.4,16.2,262.0,1006.7,27.7,14.4,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"03971099999,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-01-01 23:00:00,2.4,-1.6,1.3,92.77,0.0,0,,0.0,0.0,20.2,15.5,258.0,1007.5,89.1,17.1,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"03971099999,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-01-02 00:00:00,2.9,0.0,1.4,89.76,0.0,0,,0.0,0.0,22.0,10.8,253.0,1008.4,89.1,17.1,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"03971099999,EIDW,03969099999,03967099999,EIME"
