name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Dublin, Ireland",2023-05-01T00:00:00,10.9,10.9,8.5,85.1,0,0,,0,0,29.5,14.7,257,1017.2,88.9,15.3,0,0,0,,Partially cloudy,partly-cloudy-night,"03971099999,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-05-01T01:00:00,10.8,10.8,9.9,94.36,2.528,100,rain,0,0,29.9,13.9,270,1017.3,88.8,15.9,0,0,0,,"Rain, Partially cloudy",rain,"03971099999,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-05-01T02:00:00,10.1,10.1,9.3,94.56,0,0,,0,0,30.2,15.5,274,1017.3,89,15.3,0,0,0,,Partially cloudy,partly-cloudy-night,"03971099999,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-05-01T03:00:00,10.6,10.6,9.8,95,0,0,,0,0,30.2,17.5,260,1017.2,90.3,15.2,0,0,0,,Overcast,cloudy,"03971099999,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-05-01T04:00:00,10.1,10.1,9.4,95.06,0,0,,0,0,29.2,15.1,264,1017.2,90.4,13.7,0,0,0,,Overcast,cloudy,"03971099999,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-05-01T05:00:00,10.2,10.2,9.9,98.09,0,0,,0,0,25.6,16.6,275,1017.3,92.2,6.2,0,0,0,,Overcast,cloudy,"03971099999,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-05-01T06:00:00,10.5,10.5,9.8,95.66,0,0,,0,0,24.8,14.7,270,1017.7,92.2,14.1,5,0,0,,Overcast,cloudy,"03971099999,F6683,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-05-01T07:00:00,10.8,10.8,9.9,94.52,0,0,,0,0,28.4,14,272,1018.2,90.4,15.3,22,0.1,0,,Overcast,cloudy,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-05-01T08:00:00,10.9,10.9,10,94.43,0,0,,0,0,29.9,17.3,280,1018.5,90.3,15.4,41,0.1,0,,Overcast,cloudy,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-05-01T09:00:00,11.6,11.6,9.9,89.76,0,0,,0,0,36.4,20.6,290,1019.1,89,28.4,163,0.6,2,,Partially cloudy,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-05-01T10:00:00,12.5,12.5,9.9,84.09,0,0,,0,0,36,23.1,291,1019.3,89,29.6,190,0.7,2,,Partially cloudy,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-05-01T11:00:00,13.5,13.5,9.4,76.42,0,0,,0,0,35.3,23.4,290,1019.4,63.7,29.6,406,1.5,4,,Partially cloudy,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
